Date,Content,Comment
2020-11-21,https://boxd.it/1t86db,"In that case, I think it's safe to say this is one of the best stepping stones for those who are getting into more artistic cinema. Watching this is such a satisfying experience in any case, let alone an average moviegoer's first art film."
2020-11-22,https://boxd.it/PcGcr,What is your rating?
2020-11-24,https://boxd.it/1tu8xV,Based - best Tarantino
2020-11-26,https://boxd.it/1tC0Sd,You think he was horny in this lmao dude go watch Eyes Wide Shut
2020-11-27,https://boxd.it/1tM78r,cyujm
2020-11-27,https://boxd.it/1tNa87,It's close but it doesn't give me the emotional punch that I look for out of my 10/10 films
2020-11-28,https://boxd.it/1tOnUF,Ym is the highest 9.5 possible
2020-11-29,https://boxd.it/1tW4Ez,Yes it is!
2020-11-29,https://boxd.it/1tZv4z,I take it you enjoy Fight Club more than I did?
2020-11-29,https://boxd.it/1tZv4z,"That's totally understandable - it deserves a rewatch.

And please go into more detail with the ""you know what"" as you put it, in case I missed something key."
2020-11-29,https://boxd.it/1tZv4z,Ahhh yes yes
2020-11-29,https://boxd.it/1u0tDT,h
2020-11-29,https://boxd.it/90v8W,What a great idea for a list! Can't wait to see more!
2020-11-30,https://boxd.it/Pgax1,"Re-watch it, dino boy"
2020-11-30,https://boxd.it/1u6Tbj,"I might just do that... hmm, that's a good idea"
2020-11-30,https://boxd.it/1u6Tbj,"My parents are trying to decide if they want to watch Spirited Away or a Wes Anderson film, this'll be interesting"
2020-11-30,https://boxd.it/1u6Tbj,Rushmore would also be a very good choice
2020-11-30,https://boxd.it/1u6Tbj,Indeed it is; the kids are gonna love it!
2020-11-30,https://boxd.it/1uaMpB,"What did you think of it? I thought it was well made, though the way the story is told is a bit dull"
2020-11-30,https://boxd.it/1uaNbl,YES
2020-11-30,https://boxd.it/1jxLop,That's good to hear! I tried looking for the directors cut during spooky season but couldn't find it anywhere. Where might I find it?
2020-12-01,https://boxd.it/1ubMzj,"Exactly.


Also I saw your earlier comment about Memories of Murder and I totally agree."
2020-12-02,https://boxd.it/1ubMzj,That's good to hear; I'm not sure what it was for me. I went in with the expectations that Zodiac would be how it is and I still had trouble consistently paying attention.
2020-12-02,https://boxd.it/1ubMzj,I'm planning to in the coming days - trying to fit in all of Fincher's films before Mank releases
2020-12-02,https://boxd.it/1ubMzj,"Sadly I don't think I'll have enough time, but maybe in the future. It's on my radar for sure"
2020-12-05,https://boxd.it/amL2y,"2300 is a bit of an odd number to be a milestone, is there a greater significance to it?"
2020-12-05,https://boxd.it/amL2y,"Oh okay, my bad. That makes sense"
2020-12-10,https://boxd.it/1vf5VN,"Does it qualify for the Academy Awards? According to IMDb, it hasn't had a limited or wide US release yet this year."
2020-12-12,https://boxd.it/1voIqn,Just wait for Antichrist and Oldboy (except Oldboy is a good movie)
2020-12-14,https://boxd.it/1vGgr9,I'm sure he would. He definitely loves to make films that divide the audience.
2020-12-15,https://boxd.it/1vLQLT,"Finally

Widow Europe"
2020-12-15,https://boxd.it/1vOeaV,"I honestly was so frustrated with the way the film was edited. It either looked unintentionally cheap or just felt uneven.

I laughed out loud when I remembered the editing was nominated for an academy award, though there historically are a number of editing nominees that don't deserve it."
2020-12-16,https://boxd.it/1vTwP3,Based
2020-12-19,https://boxd.it/1wbXzH,It's definitely on my watchlist for the next few weeks!
2020-12-21,https://boxd.it/1wu0fL,I love this movie. One of my personal favorite animated films!
2020-12-21,https://boxd.it/1wu0fL,"Yes! I grew up on their films, and all the Wallace and Gromit shorts, so I have a strong personal connection to them"
2020-12-22,https://boxd.it/aqtYi,"Here's my watchlist: https://letterboxd.com/joshmovie/list/criterion-challenge-2021-52-films-watchlist

I'll create a separate list ranking these films once January comes around"
2020-12-23,https://boxd.it/1wKWvf,Frankly I agree. This did very little for me.
2020-12-24,https://boxd.it/1wWAjF,I mean... Lolita though
2020-12-26,https://boxd.it/1wJUwj,"by quite a fair margin, at that"
