Date,Name,Year,Letterboxd URI,Rating
2025-08-21,28 Years Later,2025,https://boxd.it/FEGM,4
2025-08-25,KPop Demon Hunters,2025,https://boxd.it/ufwK,3.5
2025-08-27,Mickey 17,2025,https://boxd.it/q1Dk,4
2025-08-27,Sinners,2025,https://boxd.it/KQMM,4
2025-08-31,"Sorry, Baby",2025,https://boxd.it/JKNi,4.5
2025-09-01,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,5
2025-09-01,Black Bag,2025,https://boxd.it/KRbM,4
2025-09-01,Predator: Killer of Killers,2025,https://boxd.it/QYvQ,4
2025-09-08,Highest 2 Lowest,2025,https://boxd.it/LcIC,3
2025-09-09,Twinless,2025,https://boxd.it/LkKc,4
2025-09-26,One Battle After Another,2025,https://boxd.it/DUHM,5
2025-10-09,Good Boy,2025,https://boxd.it/SC0q,3.5
2025-10-14,Anemone,2025,https://boxd.it/QxVi,4
2025-10-15,The Smashing Machine,2025,https://boxd.it/syUC,4
2025-10-16,Roofman,2025,https://boxd.it/LcIW,4
2025-10-29,Chainsaw Man – The Movie: Reze Arc,2025,https://boxd.it/Kgyu,4.5
2025-10-29,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,https://boxd.it/O1GQ,3.5
2025-11-09,Die My Love,2025,https://boxd.it/D5cI,4
2025-11-15,Bugonia,2025,https://boxd.it/qeWY,2
2025-11-20,The Baltimorons,2025,https://boxd.it/SBYa,4
2025-12-05,Five Nights at Freddy's 2,2025,https://boxd.it/KEvY,3
2025-12-11,Zootopia 2,2025,https://boxd.it/F0vO,3.5
2025-12-12,Hamnet,2025,https://boxd.it/woVy,4.5
2025-12-13,Frankenstein,2025,https://boxd.it/Ecsg,3.5
2025-12-13,Sentimental Value,2025,https://boxd.it/GwcG,4.5
2025-12-19,Avatar: Fire and Ash,2025,https://boxd.it/2W7s,4
2025-12-26,Marty Supreme,2025,https://boxd.it/Off0,4.5
2025-12-27,HIM,2025,https://boxd.it/BfYI,1.5
2025-12-29,Glass Onion,2022,https://boxd.it/oCkK,4
2025-12-29,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,3.5
2025-12-29,Wake Up Dead Man,2025,https://boxd.it/uAKS,4
2026-01-19,Train Dreams,2025,https://boxd.it/LdDo,3.5
