Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-07-08,F9,2021,https://boxd.it/1YIcxd,2,,"<b>4.5</b>

Got off work early so I decided to check this out with some of my co-workers. Most of it is of course very stupid but we had enough fun with the movie, even if it's a little long; I'm pretty sure there were like 12 endings. Some pretty cool CGI stunts complement the total absurdity of the plot well.",hollywood palms,2021-07-07
2021-08-26,Candyman,1992,https://boxd.it/25RigD,4,,"Kept me HOOKED the whole time!

Get it?

Hooked?









Yeah


(this is on par with The Exorcist for me, I loved it. The way it uses the setting is flawless. Mixed feelings on the ending and some performances aren't very good, but I'm really excited to see the Jordan Peele version and would gladly re-visit this one)",peacock,2021-08-25
2021-12-09,Benedetta,2021,https://boxd.it/2lsGqV,1.5,,An 80 year old man makes a movie about sexuality that is so unnecessarily graphic to the point that I'm genuinely incredibly embarrassed for seeing this in a theater. I feel like a worse person because of it. Decently made but offers no reward or reason to exist. Miserable.,,2021-12-08
2021-12-26,8-Bit Christmas,2021,https://boxd.it/2oqqOb,1,,Warner is greenlighting screenplays written by 12 year olds,"hbo max, w/ dad, w/ mom, w/ quinn",2021-12-25
2022-01-31,Pariah,2007,https://boxd.it/2xgqoN,,,Touching,youtube,
2022-03-29,The Last Duel,2021,https://boxd.it/2HN6fR,,,"R: ""I have a movie, for somebody special, and NO ONE has ever seen this movie.""

W: ""Never been seen.""

R: ""It's a NEVER BEEN SEEN movie.""

W: ""Okay!""

R: ""Not even the director has seen it.""

W: ""Uh oh!""

R: ""Now, I got a screener of The Last Duel!""

-- Regina Hall and Wanda Sykes at the 94th Academy Awards



<i>(I haven't seen The Last Duel)</i>",,
2022-05-28,The Square,2017,https://boxd.it/2SvPPX,,,"Made it about halfway through before turning off. This is genuinely one of the most boring things I’ve ever seen. I won’t rate the movie since I didn’t finish it, but my god I didn’t give a shit about any of it. I partially blame this on my expectations, wanting to pick a comedy since I’m really not doing well right now, but this almost kinda made my life worse because it felt like such a waste of time lmfao. I ‘get’ what it’s going for, like a satire of the art world and class differences, but I’m not sure if I’ll ever feel like watching the last hour and 15 minutes. If you like this movie I’m jealous that you found something good in it.","hulu, w/ dad, walked out",2022-05-27
2022-09-23,THX Deep Note,,,,,Childhood trauma moment lol,,
2022-12-05,Whiplash,2014,https://boxd.it/3uZnk5,5,Yes,"I watched this for the first time when I was 16, and it came into my life at the exact right time. During sophomore year, I was in the top jazz band at my high school and, both with playing trumpet and everything I was doing, I was full of ambition and energy to be the best. I put too much on my plate, and when my grades fell, I found less joy in everything and I felt like a failure, I re-evaluated myself completely and burnt out. Seeing Andrew tear his life apart to get to the top just two months later burned its way into my brain forever; I saw a character that seriously reminded me of who I was at that time, and gave me some perspective on why I needed change (the entire anecdote is mostly depressing, but watching this for the first time was a good thing).

The end of sophomore year was marked by COVID and quarantine, both of which did anything but help me; I was isolated from my previous life completely, left with my invasive thoughts and depression over self-esteem for a long time. I never reached the same level I was before 2020 again. Things eventually got better at the end of the year, when it was safe to go back to in-person school and jazz band, and it felt like a breath of fresh air. This fresh air lasted through senior year and into now, but I was forever a changed person.

This isn't to say I miss being 16 at all; I am so proud of how far I've come and who I am today, but I'd be lying if I said I don't miss some of the excitement of being at the top of my game. I'm now in college, an aspiring filmmaker, no longer in a jazz band; things are completely different. It's a bittersweet feeling, but I contribute both strong emotions to the impact this movie has left, through all its incredible filmmaking and the personal connection it has with me. Watching this again is a big reminder of who I used to be early on in high school, and has given me some new perspective on how I have evolved as a person over the last few years. I will forever love <i>Whiplash</i>. ","dvd, w/ dad",2022-12-04
2023-02-22,In a Heartbeat,2017,https://boxd.it/3TeIMv,,,Somehow never saw this until now but this is so tender and cathartic. Made me stressed out and also tear up in just 4 minutes. :'),,
2023-04-21,Speak No Evil,2024,https://boxd.it/494Oxv,0.5,,WHY IS THIS HAPPENING LMFAO,,
