Date,Name,Year,Letterboxd URI,Rating
2024-03-29,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,4
2024-03-29,Shaun of the Dead,2004,https://boxd.it/29J8,3.5
2024-03-29,The Holdovers,2023,https://boxd.it/vHza,4
2024-03-29,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs,2.5
2024-03-29,Little Miss Sunshine,2006,https://boxd.it/29EW,4
2024-03-29,But I'm a Cheerleader,1999,https://boxd.it/1CW4,2.5
2024-03-29,The Boss Baby,2017,https://boxd.it/9mfO,0.5
2024-03-30,Air,2023,https://boxd.it/Arlc,2.5
2024-03-30,Smile,2022,https://boxd.it/xjfE,3
2024-03-30,Umma,2022,https://boxd.it/scAg,1.5
2024-03-30,Peter Rabbit,2018,https://boxd.it/di8W,1
2024-03-30,Bug Off!,2001,https://boxd.it/53zW,1.5
2024-03-30,The BFG,2016,https://boxd.it/81cs,1
2024-03-30,Paint,2023,https://boxd.it/uYp0,0.5
2024-03-30,Anyone But You,2023,https://boxd.it/EzA8,2
2024-03-30,Terrifier,2016,https://boxd.it/eRzg,1.5
2024-03-30,Suicide Squad,2016,https://boxd.it/9row,1.5
2024-03-30,Brave,2012,https://boxd.it/bVG,2
2024-03-30,Venom,2018,https://boxd.it/b8wA,2
2024-03-30,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,1
2024-03-30,Black Panther: Wakanda Forever,2022,https://boxd.it/igPu,2.5
2024-03-30,Fall,2022,https://boxd.it/Bf6G,2.5
2024-04-13,Civil War,2024,https://boxd.it/z1jW,4.5
2024-04-22,The First Omen,2024,https://boxd.it/fx08,3.5
2024-04-23,Suspiria,2018,https://boxd.it/cioI,3.5
2024-04-23,Call Me by Your Name,2017,https://boxd.it/dYmm,4
2024-04-23,Challengers,2024,https://boxd.it/zld0,4.5
2024-04-24,The Exorcist: Believer,2023,https://boxd.it/uotK,1.5
2024-04-24,Immaculate,2024,https://boxd.it/Douw,2.5
